Toggle Attrition/Retention 1,0,Age,Age (copy),Age group,Attrition,Attrition %,Attrition Count,Attrition Date,Attrition Label,Avg. Satisfaction Score,Department,Dynamic Date,Education,Education Field,Education Label,Education Switch Calc,Employee Count,Employee No.,Employee Number,Environment Satisfaction,Gender,Heat Map - Attrition Emp,Heat Map - Current Emp,Job Involvement,Job Role,Job Satisfaction,Monthly Income,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Toggle - Trend Switch,Toggle Attrition/Retention 2,Work Life Balance
TRUE,0,41,41,35-44,Yes,0.000680272,1,4/30/2022,Attrited Employees,2.2,Sales,4/1/2022,Associates Degree,Life Sciences,E D U C A T I O N,Associates Degree,1,E_1,1,2,Female,1,0,3,Sales Executive,4,5993,11,3,1,Month,Attrition,1
TRUE,0,49,49,45-55,No,,,,Current Employees,2.8,R & D,,High School,Life Sciences,E D U C A T I O N,High School,1,E_2,2,3,Male,,1,2,Research Scientist,2,5130,23,4,4,Month,Retention,3
TRUE,0,37,37,35-44,Yes,0.000680272,1,5/3/2022,Attrited Employees,2.8,R & D,5/1/2022,Associates Degree,Other,E D U C A T I O N,Associates Degree,1,E_4,4,4,Male,1,0,2,Laboratory Technician,3,2090,15,3,2,Month,Attrition,3
TRUE,0,33,33,25-34,No,,,,Current Employees,3.2,R & D,,Master's Degree,Life Sciences,E D U C A T I O N,Master's Degree,1,E_5,5,4,Female,,1,3,Research Scientist,3,2909,11,3,3,Month,Retention,3
TRUE,0,27,27,25-34,No,,,,Current Employees,2.6,R & D,,High School,Medical,E D U C A T I O N,High School,1,E_7,7,1,Male,,1,3,Laboratory Technician,2,3468,12,3,4,Month,Retention,3
TRUE,0,32,32,25-34,No,,,,Current Employees,3.2,R & D,,Associates Degree,Life Sciences,E D U C A T I O N,Associates Degree,1,E_8,8,4,Male,,1,3,Laboratory Technician,4,3068,13,3,3,Month,Retention,2
TRUE,0,59,59,> 55,No,,,,Current Employees,2.2,R & D,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_10,10,3,Female,,1,4,Laboratory Technician,1,2670,20,4,1,Month,Retention,2
TRUE,0,30,30,25-34,No,,,,Current Employees,3,R & D,,High School,Life Sciences,E D U C A T I O N,High School,1,E_11,11,4,Male,,1,3,Laboratory Technician,3,2693,22,4,2,Month,Retention,3
TRUE,0,38,38,35-44,No,,,,Current Employees,2.8,R & D,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_12,12,4,Male,,1,2,Manufacturing Director,3,9526,21,4,2,Month,Retention,3
TRUE,0,36,36,35-44,No,,,,Current Employees,2.6,R & D,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_13,13,3,Male,,1,3,Healthcare Representative,3,5237,13,3,2,Month,Retention,2
TRUE,0,35,35,35-44,No,,,,Current Employees,2.6,R & D,,Bachelor's Degree,Medical,E D U C A T I O N,Bachelor's Degree,1,E_14,14,1,Male,,1,4,Laboratory Technician,2,2426,13,3,3,Month,Retention,3
TRUE,0,29,29,25-34,No,,,,Current Employees,3.2,R & D,,Associates Degree,Life Sciences,E D U C A T I O N,Associates Degree,1,E_15,15,4,Female,,1,2,Laboratory Technician,3,4193,12,3,4,Month,Retention,3
TRUE,0,31,31,25-34,No,,,,Current Employees,2.6,R & D,,High School,Life Sciences,E D U C A T I O N,High School,1,E_16,16,1,Male,,1,3,Research Scientist,3,2911,17,3,4,Month,Retention,2
TRUE,0,34,34,25-34,No,,,,Current Employees,3,R & D,,Associates Degree,Medical,E D U C A T I O N,Associates Degree,1,E_18,18,2,Male,,1,3,Laboratory Technician,4,2661,11,3,3,Month,Retention,3
TRUE,0,28,28,25-34,Yes,0.000680272,1,7/5/2021,Attrited Employees,2.6,R & D,7/1/2021,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_19,19,3,Male,1,0,2,Laboratory Technician,3,2028,14,3,2,Month,Attrition,3
TRUE,0,29,29,25-34,No,,,,Current Employees,2.6,R & D,,Master's Degree,Life Sciences,E D U C A T I O N,Master's Degree,1,E_20,20,2,Female,,1,4,Manufacturing Director,1,9980,11,3,3,Month,Retention,3
TRUE,0,32,32,25-34,No,,,,Current Employees,2.6,R & D,,Associates Degree,Life Sciences,E D U C A T I O N,Associates Degree,1,E_21,21,1,Male,,1,4,Research Scientist,2,3298,12,3,4,Month,Retention,2
TRUE,0,22,22,< 25,No,,,,Current Employees,3.2,R & D,,Associates Degree,Medical,E D U C A T I O N,Associates Degree,1,E_22,22,4,Male,,1,4,Laboratory Technician,4,2935,13,3,2,Month,Retention,2
TRUE,0,53,53,45-55,No,,,,Current Employees,2.6,Sales,,Master's Degree,Life Sciences,E D U C A T I O N,Master's Degree,1,E_23,23,1,Female,,1,2,Manager,4,15427,16,3,3,Month,Retention,3
TRUE,0,38,38,35-44,No,,,,Current Employees,3.4,R & D,,Bachelor's Degree,Life Sciences,E D U C A T I O N,Bachelor's Degree,1,E_24,24,4,Male,,1,3,Research Scientist,4,3944,11,3,3,Month,Retention,3
TRUE,0,24,24,< 25,No,,,,Current Employees,2.8,R & D,,Associates Degree,Other,E D U C A T I O N,Associates Degree,1,E_26,26,1,Female,,1,4,Manufacturing Director,3,4011,18,3,4,Month,Retention,2
TRUE,0,36,36,35-44,Yes,0.000680272,1,1/16/2022,Attrited Employees,2.2,Sales,1/1/2022,Master's Degree,Life Sciences,E D U C A T I O N,Master's Degree,1,E_27,27,3,Male,1,0,2,Sales Representative,1,3407,23,4,2,Month,Attrition,3
TRUE,0,34,34,25-34,No,,,,Current Employees,2.4,R & D,,Master's Degree,Life Sciences,E D U C A T I O N,Master's Degree,1,E_28,28,1,Female,,1,3,Research Director,2,11994,11,3,3,Month,Retention,3
TRUE,0,21,21,< 25,No,,,,Current Employees,3.4,R & D,,Associates Degree,Life Sciences,E D U C A T I O N,Associates Degree,1,E_30,30,3,Male,,1,3,Research Scientist,4,1232,14,3,4,Month,Retention,3
